,Date,Timespan,Value,Base,Peak
0,2019-06-01T00:00:00.0000000,00:00-01:00,33.63,29.9467,27.995
1,2019-06-01T00:00:00.0000000,01:00-02:00,31.03,29.9467,27.995
2,2019-06-01T00:00:00.0000000,02:00-03:00,28.23,29.9467,27.995
3,2019-06-01T00:00:00.0000000,03:00-04:00,27.52,29.9467,27.995
4,2019-06-01T00:00:00.0000000,04:00-05:00,25.44,29.9467,27.995
5,2019-06-01T00:00:00.0000000,05:00-06:00,23.12,29.9467,27.995
6,2019-06-01T00:00:00.0000000,06:00-07:00,25.73,29.9467,27.995
7,2019-06-01T00:00:00.0000000,07:00-08:00,27.55,29.9467,27.995
8,2019-06-01T00:00:00.0000000,08:00-09:00,29.61,29.9467,27.995
9,2019-06-01T00:00:00.0000000,09:00-10:00,28.68,29.9467,27.995
10,2019-06-01T00:00:00.0000000,10:00-11:00,26.42,29.9467,27.995
11,2019-06-01T00:00:00.0000000,11:00-12:00,25.32,29.9467,27.995
12,2019-06-01T00:00:00.0000000,12:00-13:00,26.72,29.9467,27.995
13,2019-06-01T00:00:00.0000000,13:00-14:00,22.41,29.9467,27.995
14,2019-06-01T00:00:00.0000000,14:00-15:00,18.34,29.9467,27.995
15,2019-06-01T00:00:00.0000000,15:00-16:00,24.73,29.9467,27.995
16,2019-06-01T00:00:00.0000000,16:00-17:00,27.57,29.9467,27.995
17,2019-06-01T00:00:00.0000000,17:00-18:00,29.09,29.9467,27.995
18,2019-06-01T00:00:00.0000000,18:00-19:00,36.9,29.9467,27.995
19,2019-06-01T00:00:00.0000000,19:00-20:00,40.15,29.9467,27.995
20,2019-06-01T00:00:00.0000000,20:00-21:00,41.71,29.9467,27.995
21,2019-06-01T00:00:00.0000000,21:00-22:00,40.86,29.9467,27.995
22,2019-06-01T00:00:00.0000000,22:00-23:00,40.36,29.9467,27.995
23,2019-06-01T00:00:00.0000000,23:00-24:00,37.6,29.9467,27.995
24,2019-06-02T00:00:00.0000000,00:00-01:00,28.52,21.8258,13.9008
25,2019-06-02T00:00:00.0000000,01:00-02:00,28.99,21.8258,13.9008
26,2019-06-02T00:00:00.0000000,02:00-03:00,29.07,21.8258,13.9008
27,2019-06-02T00:00:00.0000000,03:00-04:00,27.84,21.8258,13.9008
28,2019-06-02T00:00:00.0000000,04:00-05:00,27.56,21.8258,13.9008
29,2019-06-02T00:00:00.0000000,05:00-06:00,24.97,21.8258,13.9008
30,2019-06-02T00:00:00.0000000,06:00-07:00,24.51,21.8258,13.9008
31,2019-06-02T00:00:00.0000000,07:00-08:00,23.31,21.8258,13.9008
32,2019-06-02T00:00:00.0000000,08:00-09:00,25.22,21.8258,13.9008
33,2019-06-02T00:00:00.0000000,09:00-10:00,19.38,21.8258,13.9008
34,2019-06-02T00:00:00.0000000,10:00-11:00,11.76,21.8258,13.9008
35,2019-06-02T00:00:00.0000000,11:00-12:00,11.9,21.8258,13.9008
36,2019-06-02T00:00:00.0000000,12:00-13:00,8.91,21.8258,13.9008
37,2019-06-02T00:00:00.0000000,13:00-14:00,3.5,21.8258,13.9008
38,2019-06-02T00:00:00.0000000,14:00-15:00,-9.02,21.8258,13.9008
39,2019-06-02T00:00:00.0000000,15:00-16:00,-0.48,21.8258,13.9008
40,2019-06-02T00:00:00.0000000,16:00-17:00,3.5,21.8258,13.9008
