,Date,Timespan,Value,Base
0,2019-06-01T00:00:00.0000000,00:00-01:00,34178.6,839692.4
1,2019-06-01T00:00:00.0000000,01:00-02:00,33057.6,839692.4
2,2019-06-01T00:00:00.0000000,02:00-03:00,32091.7,839692.4
3,2019-06-01T00:00:00.0000000,03:00-04:00,31518.7,839692.4
4,2019-06-01T00:00:00.0000000,04:00-05:00,31291.1,839692.4
5,2019-06-01T00:00:00.0000000,05:00-06:00,32074.0,839692.4
6,2019-06-01T00:00:00.0000000,06:00-07:00,33061.1,839692.4
7,2019-06-01T00:00:00.0000000,07:00-08:00,34275.5,839692.4
8,2019-06-01T00:00:00.0000000,08:00-09:00,35253.7,839692.4
9,2019-06-01T00:00:00.0000000,09:00-10:00,35845.9,839692.4
10,2019-06-01T00:00:00.0000000,10:00-11:00,36052.3,839692.4
11,2019-06-01T00:00:00.0000000,11:00-12:00,36272.3,839692.4
12,2019-06-01T00:00:00.0000000,12:00-13:00,36387.2,839692.4
13,2019-06-01T00:00:00.0000000,13:00-14:00,36084.6,839692.4
14,2019-06-01T00:00:00.0000000,14:00-15:00,35474.5,839692.4
15,2019-06-01T00:00:00.0000000,15:00-16:00,35509.7,839692.4
16,2019-06-01T00:00:00.0000000,16:00-17:00,35612.8,839692.4
17,2019-06-01T00:00:00.0000000,17:00-18:00,35870.6,839692.4
18,2019-06-01T00:00:00.0000000,18:00-19:00,36507.9,839692.4
19,2019-06-01T00:00:00.0000000,19:00-20:00,37261.0,839692.4
20,2019-06-01T00:00:00.0000000,20:00-21:00,37233.4,839692.4
21,2019-06-01T00:00:00.0000000,21:00-22:00,37305.0,839692.4
22,2019-06-01T00:00:00.0000000,22:00-23:00,36866.6,839692.4
23,2019-06-01T00:00:00.0000000,23:00-24:00,34606.6,839692.4
24,2019-06-01T00:00:00.0000000,00:00-01:00,33126.7,839692.4
25,2019-06-01T00:00:00.0000000,01:00-02:00,31454.5,839692.4
26,2019-06-01T00:00:00.0000000,02:00-03:00,30354.4,839692.4
27,2019-06-01T00:00:00.0000000,03:00-04:00,29985.9,839692.4
28,2019-06-01T00:00:00.0000000,04:00-05:00,29763.9,839692.4
29,2019-06-01T00:00:00.0000000,05:00-06:00,30099.3,839692.4
30,2019-06-01T00:00:00.0000000,06:00-07:00,31215.3,839692.4
31,2019-06-01T00:00:00.0000000,07:00-08:00,32719.1,839692.4
32,2019-06-01T00:00:00.0000000,08:00-09:00,33788.8,839692.4
33,2019-06-01T00:00:00.0000000,09:00-10:00,34873.1,839692.4
34,2019-06-01T00:00:00.0000000,10:00-11:00,35545.1,839692.4
35,2019-06-01T00:00:00.0000000,11:00-12:00,35542.7,839692.4
36,2019-06-01T00:00:00.0000000,12:00-13:00,35345.7,839692.4
37,2019-06-01T00:00:00.0000000,13:00-14:00,34931.8,839692.4
38,2019-06-01T00:00:00.0000000,14:00-15:00,34660.4,839692.4
39,2019-06-01T00:00:00.0000000,15:00-16:00,34566.4,839692.4
40,2019-06-01T00:00:00.0000000,16:00-17:00,34843.5,839692.4
41,2019-06-01T00:00:00.0000000,17:00-18:00,35518.1,839692.4
42,2019-06-01T00:00:00.0000000,18:00-19:00,35712.1,839692.4
43,2019-06-01T00:00:00.0000000,19:00-20:00,37063.6,839692.4
44,2019-06-01T00:00:00.0000000,20:00-21:00,37847.0,839692.4
45,2019-06-01T00:00:00.0000000,21:00-22:00,37272.0,839692.4
46,2019-06-01T00:00:00.0000000,22:00-23:00,36969.0,839692.4
47,2019-06-01T00:00:00.0000000,23:00-24:00,33991.3,839692.4
48,2019-06-02T00:00:00.0000000,00:00-01:00,32145.4,817189.7
49,2019-06-02T00:00:00.0000000,01:00-02:00,31639.8,817189.7
50,2019-06-02T00:00:00.0000000,02:00-03:00,31273.4,817189.7
51,2019-06-02T00:00:00.0000000,03:00-04:00,30869.4,817189.7
52,2019-06-02T00:00:00.0000000,04:00-05:00,31608.6,817189.7
53,2019-06-02T00:00:00.0000000,05:00-06:00,32569.5,817189.7
54,2019-06-02T00:00:00.0000000,06:00-07:00,36337.5,817189.7
55,2019-06-02T00:00:00.0000000,07:00-08:00,39645.2,817189.7
56,2019-06-02T00:00:00.0000000,08:00-09:00,41056.3,817189.7
57,2019-06-02T00:00:00.0000000,09:00-10:00,40492.4,817189.7
58,2019-06-02T00:00:00.0000000,10:00-11:00,39940.4,817189.7
59,2019-06-02T00:00:00.0000000,11:00-12:00,39180.5,817189.7
60,2019-06-02T00:00:00.0000000,12:00-13:00,38320.8,817189.7
61,2019-06-02T00:00:00.0000000,13:00-14:00,37930.2,817189.7
62,2019-06-02T00:00:00.0000000,14:00-15:00,37671.1,817189.7
63,2019-06-02T00:00:00.0000000,15:00-16:00,37778.1,817189.7
64,2019-06-02T00:00:00.0000000,16:00-17:00,37797.7,817189.7
65,2019-06-02T00:00:00.0000000,17:00-18:00,38793.3,817189.7
66,2019-06-02T00:00:00.0000000,18:00-19:00,39000.9,817189.7
67,2019-06-02T00:00:00.0000000,19:00-20:00,39308.7,817189.7
68,2019-06-02T00:00:00.0000000,20:00-21:00,38826.3,817189.7
69,2019-06-02T00:00:00.0000000,21:00-22:00,38565.6,817189.7
70,2019-06-02T00:00:00.0000000,22:00-23:00,37659.1,817189.7
71,2019-06-02T00:00:00.0000000,23:00-24:00,35411.9,817189.7
72,2019-06-03T00:00:00.0000000,00:00-01:00,32223.0,883822.1
73,2019-06-03T00:00:00.0000000,01:00-02:00,31084.2,883822.1
74,2019-06-03T00:00:00.0000000,02:00-03:00,30595.3,883822.1
75,2019-06-03T00:00:00.0000000,03:00-04:00,30270.7,883822.1
76,2019-06-03T00:00:00.0000000,04:00-05:00,31040.8,883822.1
77,2019-06-03T00:00:00.0000000,05:00-06:00,32692.2,883822.1
78,2019-06-03T00:00:00.0000000,06:00-07:00,37184.6,883822.1
79,2019-06-03T00:00:00.0000000,07:00-08:00,39506.3,883822.1
80,2019-06-03T00:00:00.0000000,08:00-09:00,40922.5,883822.1
81,2019-06-03T00:00:00.0000000,09:00-10:00,40854.7,883822.1
82,2019-06-03T00:00:00.0000000,10:00-11:00,40497.1,883822.1
83,2019-06-03T00:00:00.0000000,11:00-12:00,40016.3,883822.1
84,2019-06-03T00:00:00.0000000,12:00-13:00,39276.0,883822.1
85,2019-06-03T00:00:00.0000000,13:00-14:00,38973.7,883822.1
86,2019-06-03T00:00:00.0000000,14:00-15:00,38680.1,883822.1
87,2019-06-03T00:00:00.0000000,15:00-16:00,38515.5,883822.1
88,2019-06-03T00:00:00.0000000,16:00-17:00,38909.1,883822.1
89,2019-06-03T00:00:00.0000000,17:00-18:00,39256.8,883822.1
90,2019-06-03T00:00:00.0000000,18:00-19:00,38906.4,883822.1
91,2019-06-03T00:00:00.0000000,19:00-20:00,39033.9,883822.1
92,2019-06-03T00:00:00.0000000,20:00-21:00,38916.2,883822.1
93,2019-06-03T00:00:00.0000000,21:00-22:00,38305.7,883822.1
94,2019-06-03T00:00:00.0000000,22:00-23:00,36578.8,883822.1
95,2019-06-03T00:00:00.0000000,23:00-24:00,34698.6,883822.1
96,2019-06-04T00:00:00.0000000,00:00-01:00,33207.3,886938.5
97,2019-06-04T00:00:00.0000000,01:00-02:00,32578.2,886938.5
98,2019-06-04T00:00:00.0000000,02:00-03:00,32554.6,886938.5
99,2019-06-04T00:00:00.0000000,03:00-04:00,32453.7,886938.5
100,2019-06-04T00:00:00.0000000,04:00-05:00,32853.4,886938.5
101,2019-06-04T00:00:00.0000000,05:00-06:00,34184.1,886938.5
102,2019-06-04T00:00:00.0000000,06:00-07:00,37594.6,886938.5
103,2019-06-04T00:00:00.0000000,07:00-08:00,40014.3,886938.5
104,2019-06-04T00:00:00.0000000,08:00-09:00,40698.5,886938.5
105,2019-06-04T00:00:00.0000000,09:00-10:00,40627.1,886938.5
106,2019-06-04T00:00:00.0000000,10:00-11:00,40396.8,886938.5
107,2019-06-04T00:00:00.0000000,11:00-12:00,39895.2,886938.5
108,2019-06-04T00:00:00.0000000,12:00-13:00,39459.8,886938.5
109,2019-06-04T00:00:00.0000000,13:00-14:00,38935.9,886938.5
110,2019-06-04T00:00:00.0000000,14:00-15:00,38363.7,886938.5
111,2019-06-04T00:00:00.0000000,15:00-16:00,38884.6,886938.5
112,2019-06-04T00:00:00.0000000,16:00-17:00,38988.9,886938.5
113,2019-06-04T00:00:00.0000000,17:00-18:00,38770.6,886938.5
114,2019-06-04T00:00:00.0000000,18:00-19:00,38711.9,886938.5
115,2019-06-04T00:00:00.0000000,19:00-20:00,38814.8,886938.5
116,2019-06-04T00:00:00.0000000,20:00-21:00,39001.7,886938.5
117,2019-06-04T00:00:00.0000000,21:00-22:00,39039.9,886938.5
118,2019-06-04T00:00:00.0000000,22:00-23:00,38075.0,886938.5
119,2019-06-04T00:00:00.0000000,23:00-24:00,35208.5,886938.5
120,2019-06-05T00:00:00.0000000,00:00-01:00,32285.0,899313.1
121,2019-06-05T00:00:00.0000000,01:00-02:00,31099.8,899313.1
122,2019-06-05T00:00:00.0000000,02:00-03:00,30290.4,899313.1
123,2019-06-05T00:00:00.0000000,03:00-04:00,30103.9,899313.1
124,2019-06-05T00:00:00.0000000,04:00-05:00,30455.0,899313.1
125,2019-06-05T00:00:00.0000000,05:00-06:00,31428.1,899313.1
126,2019-06-05T00:00:00.0000000,06:00-07:00,34977.5,899313.1
127,2019-06-05T00:00:00.0000000,07:00-08:00,37388.6,899313.1
128,2019-06-05T00:00:00.0000000,08:00-09:00,38251.0,899313.1
129,2019-06-05T00:00:00.0000000,09:00-10:00,38259.5,899313.1
130,2019-06-05T00:00:00.0000000,10:00-11:00,37855.3,899313.1
131,2019-06-05T00:00:00.0000000,11:00-12:00,37649.0,899313.1
132,2019-06-05T00:00:00.0000000,12:00-13:00,36787.4,899313.1
133,2019-06-05T00:00:00.0000000,13:00-14:00,36420.1,899313.1
134,2019-06-05T00:00:00.0000000,14:00-15:00,36255.1,899313.1
135,2019-06-05T00:00:00.0000000,15:00-16:00,36574.9,899313.1
136,2019-06-05T00:00:00.0000000,16:00-17:00,36772.7,899313.1
137,2019-06-05T00:00:00.0000000,17:00-18:00,37110.5,899313.1
138,2019-06-05T00:00:00.0000000,18:00-19:00,37360.3,899313.1
139,2019-06-05T00:00:00.0000000,19:00-20:00,37160.6,899313.1
140,2019-06-05T00:00:00.0000000,20:00-21:00,36931.9,899313.1
141,2019-06-05T00:00:00.0000000,21:00-22:00,36753.5,899313.1
142,2019-06-05T00:00:00.0000000,22:00-23:00,36009.9,899313.1
143,2019-06-05T00:00:00.0000000,23:00-24:00,34393.1,899313.1
144,2019-06-06T00:00:00.0000000,00:00-01:00,33354.1,848573.1
145,2019-06-06T00:00:00.0000000,01:00-02:00,32669.5,848573.1
146,2019-06-06T00:00:00.0000000,02:00-03:00,32352.8,848573.1
147,2019-06-06T00:00:00.0000000,03:00-04:00,32265.7,848573.1
148,2019-06-06T00:00:00.0000000,04:00-05:00,32446.5,848573.1
149,2019-06-06T00:00:00.0000000,05:00-06:00,33930.1,848573.1
150,2019-06-06T00:00:00.0000000,06:00-07:00,36204.9,848573.1
